cell,year,cwb,latitude,longitude
6820,2025,-375.0,45.34365747036505,4.73519264267032
6902,2025,-279.5,45.273869875398375,4.63020578091911
6903,2025,-325.2,45.2717244849389,4.73208370223141
6904,2025,382.3,45.269485400274526,4.83395318953218
6905,2025,360.3,45.26715276720648,4.935814378985302
6906,2025,390.0,45.26472712582525,5.037667256722817
6907,2025,326.90000000000003,45.2622084133467,5.139511276886805
6983,2025,-80.6,45.20398550912852,4.525481950393365
6984,2025,-298.4,45.20193573114173,4.627236258597573
6985,2025,-338.4,45.199793112491726,4.728982592577448
6986,2025,376.2,45.1975570784954,4.83072065239383
6987,2025,343.0,45.19522745137287,4.932450312902943
6988,2025,332.6,45.19280475954712,5.034171427397513
6989,2025,386.2,45.19028923491065,5.135883465448172
7063,2025,-220.20000000000002,45.13400436528583,4.421021540543557
7064,2025,-79.79999999999998,45.132050230273975,4.522651616632015
7065,2025,-303.8,45.13000304053418,4.624274325108623
7066,2025,-297.8,45.12786298350132,4.725889251923348
7067,2025,379.5,45.12562979320632,4.827496091820165
7068,2025,321.5,45.12330328498238,4.929094622048322
7069,2025,343.6,45.12088381228622,5.030684452995217
7070,2025,346.7,45.11837162037777,5.13226491795511
7141,2025,-58.09999999999999,45.06206781961143,4.41832956409625
7142,2025,-266.0,45.06011627845555,4.519828472320025
7143,2025,-311.5,45.05807165340683,4.62131997220269
7144,2025,-366.4,45.05593410425728,4.722803710142145
7145,2025,-391.8,45.0537036642504,4.824279484723705
7146,2025,440.2,45.05138034139535,4.925747211790077
7147,2025,409.8,45.0489642992354,5.027206249280153
7148,2025,443.1,45.04645558332495,5.128655622094175
7149,2025,420.2,45.04385408551435,5.230095279267623
7150,2025,425.7,45.0411596557227,5.331525607100352
7151,2025,309.2,45.03837219964933,5.432946406682308
7219,2025,-92.69999999999999,44.99198874548137,4.314269292640822
7220,2025,-71.6,44.99013255389195,4.415644341210175
7221,2025,-316.5,44.98818358116237,4.517012517819985
7222,2025,-338.5,44.9861416079762,4.61837324510186
7223,2025,-310.7,44.98400669576858,4.719726137218792
7224,2025,-352.8,44.98177905384423,4.821071065085717
7225,2025,396.7,44.97945889156315,4.922408130538052
7226,2025,457.7,44.9770462993902,5.0237366412785525
7227,2025,402.1,44.97454111738082,5.12505543937788
7228,2025,370.9,44.97194312458175,5.226364677624285
7229,2025,279.3,44.96925220202443,5.327664818005528
7230,2025,253.7,44.96646838163155,5.42895527513975
7299,2025,43.30000000000001,44.9218141325268,4.210470261856195
7300,2025,-72.49999999999999,44.920052698470776,4.311721459011098
7301,2025,-134.9,44.9181987993457,4.412966056843213
7302,2025,-132.00000000000003,44.91625242239952,4.514203856022665
7303,2025,-304.8,44.914213201552926,4.61543421062976
7304,2025,-342.6,44.9120810774888,4.71665667001121
7305,2025,-374.3,44.90985632959725,4.81787111814909
7306,2025,387.8,44.9075392757647,4.919077685329762
7307,2025,398.1,44.905130007657775,5.020275817763783
7308,2025,374.3,44.90262829237587,5.1214644854617
7309,2025,277.9,44.90003383845023,5.222643751995642
7310,2025,185.29999999999998,44.89734651992922,5.323813878274605
7311,2025,192.0,44.89456639921387,5.424974229046147
7381,2025,19.19999999999998,44.85154426945535,4.106931665138345
7382,2025,56.999999999999986,44.8498776937165,4.20805933520106
7383,2025,-89.29999999999997,44.84811847313542,4.309180376751308
7384,2025,-60.3,44.84626694385197,4.410294868148028
7385,2025,-132.0,44.84432314648705,4.51140259899132
7386,2025,-213.3,44.8422866915976,4.61250291145281
7387,2025,-395.8,44.84015744683525,4.713595324747435
7388,2025,-411.8,44.83793567398777,4.814679728713003
7389,2025,400.1,44.835621696494975,4.915756155234548
7390,2025,389.9,44.8332156186698,5.016824179424755
7391,2025,378.2,44.8307172518118,5.1178830486141225
7392,2025,357.6,44.82812632734267,5.21893259857179
7393,2025,312.9,44.8254426810992,5.319972833430045
7394,2025,201.7,44.8226663095569,5.421003292634235
7463,2025,17.10000000000001,44.78117929925803,4.003653330304537
7464,2025,23.9,44.7796075306828,4.1046572318569226
7465,2025,20.0,44.77794315100088,4.205654889249263
7466,2025,-7.600000000000023,44.77618630116045,4.306646100862565
7467,2025,-26.09999999999999,44.77433724512027,4.407630819055843
7468,2025,-131.5,44.772396008098674,4.508608775110665
7469,2025,-193.5,44.77036227761665,4.6095793414374
7470,2025,-391.40000000000003,44.76823593196545,4.710542053018503
7471,2025,463.4,44.76601718097312,4.811496810454497
7472,2025,461.9,44.76370627166695,4.912443530706055
7473,2025,452.6,44.7613032924718,5.013381839886512
7474,2025,415.20000000000005,44.75880816247805,5.114311175506552
7475,2025,374.7,44.7562207177841,5.215231172193575
7476,2025,377.8,44.75354076072748,5.316141682612672
7477,2025,321.8,44.75076817530748,5.417042485298173
7478,2025,124.4,44.74790307262373,5.517933183464788
7479,2025,96.9,44.7449457071135,5.618813288742502
7546,2025,-20.200000000000003,44.71072009152005,3.900635663629672
7547,2025,68.3,44.70924267949185,4.001515086855083
7548,2025,15.499999999999993,44.70767289833675,4.10238897018941
7549,2025,347.70000000000005,44.70601072848893,4.203256871099833
7550,2025,293.4,44.70425627453065,4.304118517943302
7551,2025,249.49999999999997,44.70240971391002,4.404973732538933
7552,2025,-141.3,44.700471034270926,4.5058221926490925
7553,2025,-271.1,44.69844000726612,4.606663320493353
7554,2025,-389.4,44.69631656439245,4.707496675267407
7555,2025,494.2,44.69410086819105,4.80832213850726
7556,2025,488.2,44.691793060936426,4.90913956800576
7557,2025,443.3,44.68939317761605,5.009948600659738
7558,2025,391.5,44.6869012230206,5.110748689845543
7559,2025,391.8,44.6843171594096,5.211539356148823
7560,2025,322.3,44.68164081389025,5.312320432096955
7561,2025,313.0,44.67887201832482,5.413091853879632
7562,2025,298.6,44.67601082408628,5.513853369808848
7563,2025,208.99999999999997,44.67305743156918,5.614604524050635
7564,2025,189.29999999999998,44.670012070994126,5.715344671058115
7628,2025,-229.29999999999998,44.63878393100382,3.898633010687562
7629,2025,24.400000000000006,44.63730832773238,3.999382594675805
7630,2025,586.2,44.63574055652965,4.100126770917227
7631,2025,349.5,44.63408057920338,4.2008651968801
7632,2025,-56.3,44.6323284734259,4.301597525986685
7633,2025,-80.69999999999999,44.6304843602012,4.402323468468148
7634,2025,-248.9,44.6285482154913,4.503042683776222
7635,2025,-253.20000000000002,44.62651989776238,4.603754688272788
7636,2025,-406.6,44.62439939142107,4.704459057128015
7637,2025,396.9,44.622186797279525,4.805155586592172
7638,2025,363.6,44.61988214773205,4.905844077243468
7639,2025,386.90000000000003,44.61748540706718,5.006524178576242
7640,2025,382.90000000000003,44.61499661172598,5.1071953365840725
7641,2025,282.1,44.6124158256431,5.207857016354232
7642,2025,317.2,44.60974297133127,5.308509043044085
7643,2025,281.5,44.60697793268543,5.409151406997865
7644,2025,290.5,44.60412071307015,5.50978395501306
7645,2025,219.3,44.6011713800556,5.610406350446548
7711,2025,386.9,44.5653764017222,3.99725556867984
7712,2025,360.3,44.563810695647874,4.09787050297447
7713,2025,13.700000000000017,44.56215286914748,4.19847981405116
7714,2025,-64.79999999999998,44.56040301715765,4.299083089835338
7715,2025,-207.1,44.5585612561978,4.39968001035966
7716,2025,-182.79999999999998,44.55662760777605,4.500270269776545
7717,2025,-232.29999999999998,44.55460202344015,4.600853466371053
7718,2025,-375.5,44.5524845047394,4.701429180125283
7719,2025,346.8,44.55027507024655,4.80199710546378
7720,2025,359.9,44.54797364985705,4.90255697261877
7721,2025,432.1,44.54558012808023,5.003108424157928
7722,2025,407.90000000000003,44.54309450657802,5.103650940024037
7723,2025,342.2,44.5405169085683,5.20418401490664
7724,2025,300.0,44.53784742374465,5.30470742582896
7725,2025,241.1,44.53508608030675,5.405221106279478
